"amount_lamport","amount_usd","is_sell","user","timestamp_unix","tx_hash","log_index","pool","fees","fees_usd","quote_mint","base_mint","quote_amount","base_amount"
2581721191,389.09,1,"8TGSVsRM8GzoKYR86YDBh9dqoMWHbLcG7CaTo3S5GSkT",1749320465,"2rgnJZn6jB547BrCvtY5kuewHFxJDuLoscNbFSkpbMqyi2nzY8hFFj6EPec8tFKhD8bqgZK7CEFXQHfhbrNXjkEv",73,"CVLf28FRXnHnruRoKHxWxvNziwAbzg8RiofRa9c5aiuT",7745165,1.17,"So11111111111111111111111111111111111111112","DMe5rm71RUkGzzDzf5fVMyNR792L7nWjTEBDGBsSpump",2581721191,3891628713963
1924163,0.29,1,"G6iKCMmDKLA8PWMmwrs3RGcArxzUmA6AfvFLE1A54KX5",1749320465,"57Z7udMChVum2m52ZM1iurZ26HyK2r8Roc1B7RU54hgy2UoAJZMSvELC5T21aiXqYLb2xXw7XURtAAmBiR2JXJSV",45,"HtBG9ecH83zwb2WrFBp1s8jjZaqgXAjNGaruU9zEdEZX",9414558,1.42,"FaDv4kq6xMWDye9ZXYWhTqhnJKe3dYiQi1zc413PutBK","So11111111111111111111111111111111111111112",3765822935,1924163
492470155,74.22,0,"41m4rzsjjdaq3z1yqzFmBC7wKGpmpZGk4PEUG5QQ95kb",1749320465,"4s1NjXQ1uqTHkSF1yFSxuqkBtdqRappcL47d9N5tFBfkmX1hbiTZLy5J3NSYYZ8LkmAHCyiYPzKvPf3JDqDmWz2A",45,"CYZChncfiEUydDbxgQFPkV6UELu53ft4wCs5sbPdA7A",1477413,0.22,"So11111111111111111111111111111111111111112","HWkTm16zu7xnZhiPwLhuVM2gjf6t4ve8vDpZbDQ4pump",492470155,366151079478
2581600000,389.07,0,"8TGSVsRM8GzoKYR86YDBh9dqoMWHbLcG7CaTo3S5GSkT",1749320465,"2rgnJZn6jB547BrCvtY5kuewHFxJDuLoscNbFSkpbMqyi2nzY8hFFj6EPec8tFKhD8bqgZK7CEFXQHfhbrNXjkEv",49,"CVLf28FRXnHnruRoKHxWxvNziwAbzg8RiofRa9c5aiuT",7744800,1.17,"So11111111111111111111111111111111111111112","DMe5rm71RUkGzzDzf5fVMyNR792L7nWjTEBDGBsSpump",2581600000,3891628713963
5045757,0.76,0,"86JGVSkKzWTBYJam3FVFgibiQEv64127ZobDU8ibtuTu",1749320461,"1mSuxEHqhmMh7cCHhcv2VV1K8NwyCwVhnZ2BiWXM4eGZ4yxh9RJQs5UidmLCvjmr3vgVv6pwCTKEnJ9BSooy4Xr",23,"BdjfXqH2MDPhuoaMUgKPy4RwF6sStUb8nDqjrJGgDUaC",15138,0,"So11111111111111111111111111111111111111112","39zSVsSHFqNhARbVh6n8ZF78nCmhV3gSg8D39xhBNe73",5045757,581564666
498917103,75.19,0,"EeUt7VMy2hgCKD3DehqPiJ4uJi86GCPD6zierXN1AKBq",1749320463,"1q1j6Vb1aM4hMH8vdVnUm763pij6yqGDwaSreVe45zALqamQDfoi9zzVEmB24kLDdfrZc6vEBMY6jMefDs4TmiH",45,"CYZChncfiEUydDbxgQFPkV6UELu53ft4wCs5sbPdA7A",1496753,0.23,"So11111111111111111111111111111111111111112","HWkTm16zu7xnZhiPwLhuVM2gjf6t4ve8vDpZbDQ4pump",498917103,387843883057
6012397841,906.13,1,"Cme8Cxo6rujJUX38rjUP4CYu23bxk7cRhHwCujuwZgz8",1749320464,"218qKyayT9HvksPUqxZ2UnQykNJR9ZeUsfiGEd2Ru21dM46AyEsgi8k2fWTP3RE5bayo7o6U6XmetEDGKw3nfRU7",45,"A9NvNz97S7MpSzKjbSvrYXJ78ECd19tRAzwT9yeDv69W",40667116198,6128.94,"BPurhBhxyBwDNUeJ9w4X6gxojHJb3gztgfhwBcnQWGS3","So11111111111111111111111111111111111111112",16266846478749,6012397841
7947644598,1197.79,0,"Ax6YMZhXa7ttv9QkCaSs4mo7kZuPoJGRcaLsQp7hnCR1",1749320464,"218qKyayT9HvksPUqxZ2UnQykNJR9ZeUsfiGEd2Ru21dM46AyEsgi8k2fWTP3RE5bayo7o6U6XmetEDGKw3nfRU7",90,"A9NvNz97S7MpSzKjbSvrYXJ78ECd19tRAzwT9yeDv69W",54127824303,8157.6,"BPurhBhxyBwDNUeJ9w4X6gxojHJb3gztgfhwBcnQWGS3","So11111111111111111111111111111111111111112",21651129720924,7947644598
1824463977,274.96,0,"7ht7dVLxmV9dDyZ5Loaj72WygjrSmDBdprwfrP4KFdRW",1749320462,"21ER4eZmHPycZ8ki8VoJXQsBHwHbgqJmcPJwsuvifEisFCkofzFy3SCPS2AmQN3mHuQyiAPE2j6NkZuFoVimVuJe",35,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",3216182972,484.71,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",1286473188091,1824463977
1004752683,151.43,0,"Gsky3PYzSn5MFJiUMaMPj6hnfLPG4goXW9gqbTtvfqE9",1749320463,"21GdRj9SGc8n8f1cnoGFVTDS8pDefeCnZudzzR57z8Ns3j1h1GpC58RD5HWpBJn7ShgTiSCk3UdBznDBAo8vtc7V",47,"CYZChncfiEUydDbxgQFPkV6UELu53ft4wCs5sbPdA7A",3014260,0.45,"So11111111111111111111111111111111111111112","HWkTm16zu7xnZhiPwLhuVM2gjf6t4ve8vDpZbDQ4pump",1004752683,750087600935
